epoch,train_loss,train_acc,train_f1,train_fpr,train_fnr,val_acc,val_f1,val_fpr,val_fnr,status
1,0.4469,93.07,92.94,5.17,8.7,92.72,92.6,5.56,8.99,✓ best
2,0.2589,95.17,95.02,1.8,7.85,94.57,94.39,2.24,8.62,✓ best
3,0.2172,97.32,97.3,1.7,3.65,96.09,96.05,2.87,4.95,✓ best
4,0.1919,97.91,97.88,0.57,3.61,96.33,96.25,1.51,5.83,✓ best
5,0.1759,98.94,98.93,0.58,1.55,97.04,97.01,1.97,3.95,✓ best
6,0.1595,99.49,99.49,0.34,0.69,97.43,97.41,2.09,3.06,✓ best
7,0.149,99.71,99.71,0.41,0.17,97.35,97.37,3.45,1.85,patience 1/5
8,0.1405,99.79,99.79,0.14,0.27,97.53,97.52,2.35,2.6,✓ best
9,0.1352,99.78,99.78,0.35,0.09,97.12,97.15,4.1,1.66,patience 1/5
10,0.1317,99.91,99.91,0.06,0.11,97.62,97.61,2.1,2.67,✓ best
11,0.1288,99.89,99.89,0.03,0.18,97.5,97.49,2.01,2.99,patience 1/5
12,0.1273,99.93,99.93,0.03,0.12,97.58,97.56,1.83,3.02,patience 2/5
13,0.1256,99.95,99.95,0.03,0.06,97.49,97.5,2.9,2.12,patience 3/5
14,0.1243,99.97,99.97,0.01,0.04,97.59,97.59,2.42,2.41,patience 4/5
15,0.1234,99.95,99.95,0.01,0.09,97.54,97.53,1.87,3.04,patience 5/5
